[2024-03-31 21:42:48,659: INFO: common: created directory at: artifacts]
[2024-03-31 21:42:48,660: INFO: common: created directory at: artifacts\training]
[2024-03-31 21:48:31,052: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-03-31 21:48:31,055: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:48:31,063: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:48:31,064: INFO: common: created directory at: artifacts]
[2024-03-31 21:48:31,064: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-31 21:48:31,065: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-31 21:48:45,568: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-03-31 21:48:46,017: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-03-31 21:48:46,017: INFO: main: *******************]
[2024-03-31 21:48:46,017: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-03-31 21:48:46,020: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:48:46,023: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:48:46,023: INFO: common: created directory at: artifacts]
[2024-03-31 21:48:46,024: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-03-31 21:48:46,433: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-03-31 21:48:46,691: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-03-31 21:48:46,692: INFO: main: *******************]
[2024-03-31 21:48:46,692: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-03-31 21:48:46,697: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:48:46,699: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:48:46,700: INFO: common: created directory at: artifacts]
[2024-03-31 21:48:46,701: INFO: common: created directory at: artifacts\training]
[2024-03-31 21:50:16,210: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2024-03-31 21:50:16,211: INFO: main: *******************]
[2024-03-31 21:50:16,211: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2024-03-31 21:50:16,214: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-31 21:50:16,217: INFO: common: yaml file: params.yaml loaded successfully]
[2024-03-31 21:50:16,217: INFO: common: created directory at: artifacts]
